"Name","TID","DescriptionUnearnedTID","Type","Disabled","HideIfNotEarned","SecondaryProgressDescending","HideProgressBar","ShowUpgradePopup","SortOrder","CustomImageFromSpell","LevelsTemplate","LevelsNameTIDs","LevelsDescriptionTIDs","LevelsAppearScFile","LevelsAppearExportName","LevelsBadgeScFile","LevelsBadgeExportName","CustomCollectAnimExportName","LevelsProgressRequired","LevelsTextFormatOrTID","LevelsCustomImageScFile","LevelsCustomImageExportName","CustomImageOffsetX","CustomImageOffsetY","CustomImageScalePercent"
"String","String","String","String","boolean","boolean","boolean","boolean","boolean","int","String","String","StringArray","StringArray","StringArray","StringArray","StringArray","StringArray","StringArray","IntArray","StringArray","StringArray","StringArray","int","int","int"
"Classic12Wins","TID_BADGE_NAME_CLASSIC_CHALLENGE_0","TID_BADGE_INFO_CLASSIC_CHALLENGE_UNEARNED","Epic",,,,,"TRUE",330,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_1","TID_BADGE_INFO_CLASSIC_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl1",,1,,,,,,
,,,,,,,,,,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_2","TID_BADGE_INFO_CLASSIC_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl2",,10,,,,,,
,,,,,,,,,,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_3","TID_BADGE_INFO_CLASSIC_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl3",,25,,,,,,
,,,,,,,,,,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_4","TID_BADGE_INFO_CLASSIC_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl4",,50,,,,,,
,,,,,,,,,,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_5","TID_BADGE_INFO_CLASSIC_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl5",,100,,,,,,
,,,,,,,,,,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_6","TID_BADGE_INFO_CLASSIC_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl6",,250,,,,,,
,,,,,,,,,,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_7","TID_BADGE_INFO_CLASSIC_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl7",,500,,,,,,
,,,,,,,,,,,,"TID_BADGE_NAME_CLASSIC_CHALLENGE_8","TID_BADGE_INFO_BADGE_COMPLETE","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","classic_challengue_badge_lvl8",,1000,,,,,,
"Grand12Wins","TID_BADGE_NAME_GRAND_CHALLENGE_0","TID_BADGE_INFO_GRAND_CHALLENGE_UNEARNED","Epic",,,,,"TRUE",380,,,"TID_BADGE_NAME_GRAND_CHALLENGE_1","TID_BADGE_INFO_GRAND_CHALLENGE_EARNED","sc/ui_badges.sc","mastery_badge_appear_anim","sc/ui_badges.sc","grand_challengue_badge_lvl1",,1,,,,,,
